"id","type","lon","lat","place","name","name:en","name:zh","wikipedia","wikidata"
,node,-3.1931,55.9484,,Edinburgh,,,,
,node,-4.2436,55.8567,,Glasgow,,,,
,node,-1.4702,53.3807,,Sheffield,,,,
,node,-2.5974,51.4535,,Bristol,,,,
,node,-2.0914,57.1452,,Aberdeen,,,,
,node,-0.1374,50.822,,Brighton,,,,
,node,-2.9735,56.4594,,Dundee,,,,
,node,-0.3395,53.7436,,Kingston upon Hull,,,,
,node,-2.3223,53.4454,,Stretford,,,,
,node,-1.9823,52.5848,,Walsall,,,,
,node,-2.3597,51.3814,,Bath,,,,
,node,-1.9923,52.5187,,West Bromwich,,,,
,node,-2.2281,53.5242,,Blackley,,,,
,node,-2.7273,53.4535,,St. Helens,,,,
,node,-1.65,54.6667,,County Durham,,,,
,node,-2.2216,52.1918,,Worcester,,,,
,node,-1.21,52.77,,Charnwood,,,,
,node,-2.799,54.0484,,Lancaster,,,,
,node,-3.4591,56.0714,,Dunfermline,,,,
,node,-4.4985,55.6101,,Kilmarnock,,,,
,node,-1.6,55.01,,North Tyneside,,,,
,node,-2.2639,53.3796,,Wythenshawe,,,,
,node,-2.4798,53.7497,,Blackburn,,,,
,node,-4.6327,55.4594,,Ayr,,,,
,node,-1.4213,55.0157,,Tynemouth,,,,
,node,-2.0989,53.4888,,Ashton-under-Lyne,,,,
,node,-1.0862,51.2628,,Basingstoke,,,,
,node,-3.5479,50.4523,,Torbay,,,,
,node,-0.763,51.2494,,Aldershot,,,,
,node,-1.4812,54.9819,,Jarrow,,,,
,node,-4.2161,55.8278,,Rutherglen,,,,
,node,-3.0167,53.4667,,Bootle,,,,
,node,-2.9362,54.8948,,Carlisle,,,,
,node,-1.4684,52.5246,,Nuneaton,,,,
,node,-3.0192,53.3944,,Birkenhead,,,,
,node,-1.2003,54.6957,,Hartlepool,,,,
,node,-0.2059,51.2374,,Reigate,,,,
,node,-2.8961,53.3523,,Garston,,,,
,node,-3.1608,56.1099,,Kirkcaldy,,,,
,node,-4.0283,55.8553,,Coatbridge,,,,
,node,-2.694,53.6987,,South Ribble,,,,
,node,-1.6364,53.7166,,Batley,,,,
,node,-0.1746,50.8287,,Hove,,,,
,node,-0.3654,51.3694,,Esher,,,,
,node,-0.2678,51.3326,,Epsom,,,,
,node,-0.75,51.63,,Wycombe,,,,
,node,-3.516,55.8836,,Livingston,,,,
,node,-4.2257,57.479,,Inverness,,,,
,node,-4.4249,55.8482,,Paisley,,,,
,node,-2.1153,53.4548,,Denton,,,,
,node,-2.85,53.41,,Knowsley,,,,
