"wikidata_url","wikidata_qid","place_label","location"
http://www.wikidata.org/entity/Q1000003,Q1000003,Nielles-lès-Bléquin,Point(2.031944444 50.674166666)
http://www.wikidata.org/entity/Q1000011,Q1000011,Neuville-sous-Montreuil,Point(1.775555555 50.475)
http://www.wikidata.org/entity/Q1000115,Q1000115,Faversham,Point(0.8928 51.3177)
http://www.wikidata.org/entity/Q1000312,Q1000312,Sandgate,Point(1.1454 51.074)
http://www.wikidata.org/entity/Q1000656,Q1000656,Felixstowe,Point(1.3576 51.961)
http://www.wikidata.org/entity/Q1000662,Q1000662,Stamford,Point(-0.4837 52.6556)
http://www.wikidata.org/entity/Q1000679,Q1000679,Wokingham,Point(-0.84 51.41)
http://www.wikidata.org/entity/Q1000717,Q1000717,Tewkesbury,Point(-2.136 51.986)
http://www.wikidata.org/entity/Q1000740,Q1000740,Goole,Point(-0.869172222 53.699216666)
http://www.wikidata.org/entity/Q1001126,Q1001126,Gonneville,Point(-1.473333333 49.635277777)
http://www.wikidata.org/entity/Q1001493,Q1001493,Pease Pottage,Point(-0.2009 51.0832)
http://www.wikidata.org/entity/Q1001935,Q1001935,Stranraer,Point(-5.035 54.901388888)
http://www.wikidata.org/entity/Q1001942,Q1001942,Oakham,Point(-0.666666666 52.670555555)
http://www.wikidata.org/entity/Q1002111,Q1002111,Kilmartin,Point(-5.48694 56.1336)
http://www.wikidata.org/entity/Q1002115,Q1002115,Limavady,Point(-6.946 55.053)
http://www.wikidata.org/entity/Q1002124,Q1002124,Lanark,Point(-3.77702 55.6749)
http://www.wikidata.org/entity/Q1002153,Q1002153,St Boswells,Point(-2.64583 55.5708)
http://www.wikidata.org/entity/Q1002157,Q1002157,Inchicore,Point(-6.35 53.333333333)
http://www.wikidata.org/entity/Q1002159,Q1002159,Killiecrankie,Point(-3.77886 56.7441)
http://www.wikidata.org/entity/Q1002171,Q1002171,Furnace,Point(-5.18127 56.1517)
http://www.wikidata.org/entity/Q1002177,Q1002177,Stonehaven,Point(-2.21 56.96)
http://www.wikidata.org/entity/Q1002453,Q1002453,Westhill,Point(-2.284 57.154)
http://www.wikidata.org/entity/Q1002636,Q1002636,Macroom,Point(-8.956947 51.904354)
http://www.wikidata.org/entity/Q1002782,Q1002782,Llannor,Point(-4.449 52.908)
http://www.wikidata.org/entity/Q1002793,Q1002793,Llangollen,Point(-3.17 52.97)
http://www.wikidata.org/entity/Q1002817,Q1002817,Llangefni,Point(-4.314 53.256)
http://www.wikidata.org/entity/Q1002828,Q1002828,Paul,Point(-5.547 50.09)
http://www.wikidata.org/entity/Q1002832,Q1002832,Portnahaven,Point(-6.5 55.68)
http://www.wikidata.org/entity/Q1002835,Q1002835,St Erth,Point(-5.437 50.166)
http://www.wikidata.org/entity/Q1003178,Q1003178,Roscrea,Point(-7.797117 52.954688)
http://www.wikidata.org/entity/Q1003196,Q1003196,Sheerness,Point(0.760833333 51.441111111)
http://www.wikidata.org/entity/Q1003559,Q1003559,Prestwich,Point(-2.2833 53.5333)
http://www.wikidata.org/entity/Q1003608,Q1003608,West Stow,Point(0.668 52.302)
http://www.wikidata.org/entity/Q1003761,Q1003761,Stowe,Point(-1.017 52.018)
http://www.wikidata.org/entity/Q1003766,Q1003766,Tynagh,Point(-8.37 53.17)
